activity_number,activity_name,activity_hierarchy,activity_name_normalized,duration_days,profile_days_used,asset_requirement_count,lead_asset_count,support_asset_count,incidental_asset_count,reviewed_asset_types,lead_asset_types,support_asset_types,incidental_asset_types,total_estimated_hours_all_assets,dropped_candidate_count,dropped_generated_asset_types,has_multiple_assets,has_no_assets,review_source
1049,SA Water fire main installation,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 1 ~ 2,200m2 CARPARK > Zone A",sa water fire main installation,1,1,3,1,0,2,excavator|compactor|telehandler,excavator,,compactor|telehandler,9.0,0,,True,False,manual_first_pass
1051,Ground floor column pour,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 1 ~ 2,200m2 CARPARK > Zone A",ground floor column pour,1,1,2,1,1,0,concrete_pump|ewp,concrete_pump,ewp,,7.25,0,,True,False,manual_first_pass
1052,Ground floor strip columns,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 1 ~ 2,200m2 CARPARK > Zone A",ground floor strip columns,1,1,2,1,0,1,ewp|forklift,ewp,,forklift,2.5,0,,True,False,manual_first_pass
1059,Install services,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 1 ~ 2,200m2 CARPARK > Zone A",install services,2,2,3,1,0,2,telehandler|hoist|forklift,telehandler,,hoist|forklift,5.0,0,,True,False,manual_first_pass
1061,Concrete pour floor slab Zone [A] pour (1),"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 1 ~ 2,200m2 CARPARK > Zone A",concrete pour floor slab zone pour,1,1,1,1,0,0,concrete_pump,concrete_pump,,,8.0,1,telehandler,False,False,manual_first_pass
1062,Concrete pour floor slab Zone [A] pour (2),"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 1 ~ 2,200m2 CARPARK > Zone A",concrete pour floor slab zone pour,1,1,1,1,0,0,concrete_pump,concrete_pump,,,8.0,1,telehandler,False,False,manual_first_pass
1064,Bubbledeck false work,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 1 ~ 2,200m2 CARPARK > Zone B",bubbledeck false work,14,14,3,1,1,1,crane|telehandler|forklift,crane,telehandler,forklift,73.5,0,,True,False,manual_first_pass
1070,Install services,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 1 ~ 2,200m2 CARPARK > Zone B",install services,3,3,3,1,0,2,telehandler|hoist|forklift,telehandler,,hoist|forklift,7.5,0,,True,False,manual_first_pass
1072,Concrete pour floor slab Zone [B] pour (1),"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 1 ~ 2,200m2 CARPARK > Zone B",concrete pour floor slab zone pour,1,1,2,1,0,1,concrete_pump|telehandler,concrete_pump,,telehandler,8.5,0,,True,False,manual_first_pass
1073,Concrete pour floor slab Zone [B] pour (2),"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 1 ~ 2,200m2 CARPARK > Zone B",concrete pour floor slab zone pour,1,1,2,1,0,1,concrete_pump|telehandler,concrete_pump,,telehandler,8.5,0,,True,False,manual_first_pass
1076,Strip slab edge and set downs - tidy up,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 2 ~ 2,200m2 CARPARK > Zone A",strip slab edge and set downs - tidy up,1,1,2,1,0,1,ewp|forklift,ewp,,forklift,2.0,0,,True,False,manual_first_pass
1081,Jump the stretcher stairs,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 2 ~ 2,200m2 CARPARK > Zone A",jump the stretcher stairs,3,3,1,1,0,0,crane,crane,,,3.0,0,,False,False,manual_first_pass
1082,Jump the Hoist,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 2 ~ 2,200m2 CARPARK > Zone A",jump the hoist,1,1,2,1,0,1,hoist|crane,hoist,,crane,7.5,0,,True,False,manual_first_pass
1087,Pour concrete columns,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 2 ~ 2,200m2 CARPARK > Zone A",pour concrete columns,2,2,2,1,0,1,concrete_pump|telehandler,concrete_pump,,telehandler,8.5,0,,True,False,manual_first_pass
1088,Strip and remove column form work,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 2 ~ 2,200m2 CARPARK > Zone A",strip and remove column form work,1,1,2,1,0,1,telehandler|forklift,telehandler,,forklift,2.0,0,,True,False,manual_first_pass
1091,Install BD false work,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 2 ~ 2,200m2 CARPARK > Zone A",install bd false work,9,9,2,1,0,1,crane|forklift,crane,,forklift,30.5,1,telehandler,True,False,manual_first_pass
1098,Install services,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 2 ~ 2,200m2 CARPARK > Zone A",install services,1,1,2,1,0,1,telehandler|hoist,telehandler,,hoist,2.0,1,forklift,True,False,manual_first_pass
1101,Concrete pour floor slab Zone [A] pour (1),"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 2 ~ 2,200m2 CARPARK > Zone A",concrete pour floor slab zone pour,0,1,1,1,0,0,concrete_pump,concrete_pump,,,8.0,1,telehandler,False,False,manual_first_pass
1102,Concrete Pour beam + ramp infill Zone [B],"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 2 ~ 2,200m2 CARPARK > Zone A",concrete pour beam + ramp infill zone,0,1,2,1,0,1,concrete_pump|telehandler,concrete_pump,,telehandler,8.5,0,,True,False,manual_first_pass
1103,Concrete pour floor slab Zone [A] pour (2),"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 2 ~ 2,200m2 CARPARK > Zone A",concrete pour floor slab zone pour,1,1,1,1,0,0,concrete_pump,concrete_pump,,,8.0,1,telehandler,False,False,manual_first_pass
1105,Strip slab edge and set downs - tidy up,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 2 ~ 2,200m2 CARPARK > Zone B",strip slab edge and set downs - tidy up,1,1,2,1,0,1,telehandler|forklift,telehandler,,forklift,2.0,0,,True,False,manual_first_pass
1115,Pour concrete columns,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 2 ~ 2,200m2 CARPARK > Zone B",pour concrete columns,1,1,2,1,0,1,concrete_pump|ewp,concrete_pump,,ewp,8.5,0,,True,False,manual_first_pass
1116,Strip and remove column form work,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 2 ~ 2,200m2 CARPARK > Zone B",strip and remove column form work,1,1,2,1,0,1,ewp|forklift,ewp,,forklift,2.0,0,,True,False,manual_first_pass
1128,Install services,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 2 ~ 2,200m2 CARPARK > Zone B",install services,1,1,3,1,0,2,telehandler|hoist|forklift,telehandler,,hoist|forklift,2.5,0,,True,False,manual_first_pass
1131,Concrete pour floor slab Zone [B] pour (3),"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 2 ~ 2,200m2 CARPARK > Zone B",concrete pour floor slab zone pour,1,1,2,1,0,1,concrete_pump|telehandler,concrete_pump,,telehandler,8.5,0,,True,False,manual_first_pass
1132,Concrete pour floor slab Zone [B] pour (4) (Exlcudes 1.2m strip adjacent West Precast),"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 2 ~ 2,200m2 CARPARK > Zone B",concrete pour floor slab zone pour,1,1,4,2,0,2,concrete_pump|crane|telehandler|forklift,concrete_pump|crane,,telehandler|forklift,16.5,0,,True,False,manual_first_pass
1134,Concrete Pour (5) - Install Threaded Rod and Pour 1.2m Strip,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 2 ~ 2,200m2 CARPARK > Zone B",concrete pour - install threaded rod and pour.2m strip,2,2,2,1,1,0,concrete_pump|crane,concrete_pump,crane,,8.5,2,telehandler|forklift,True,False,manual_first_pass
1137,Strip slab edge and set downs - tidy up,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 3 ~ 2,200m2 PODIUM > Zone A",strip slab edge and set downs - tidy up,1,1,2,1,0,1,telehandler|forklift,telehandler,,forklift,2.0,0,,True,False,manual_first_pass
1143,Jump the Hoist,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 3 ~ 2,200m2 PODIUM > Zone A",jump the hoist,1,1,2,1,0,1,hoist|crane,hoist,,crane,7.5,0,,True,False,manual_first_pass
1146,Install BD false work,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 3 ~ 2,200m2 PODIUM > Zone A",install bd false work,7,7,2,1,0,1,crane|forklift,crane,,forklift,46.5,1,telehandler,True,False,manual_first_pass
1155,Install services,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 3 ~ 2,200m2 PODIUM > Zone A",install services,2,2,3,1,0,2,telehandler|hoist|forklift,telehandler,,hoist|forklift,5.0,0,,True,False,manual_first_pass
1158,Concrete pour floor slab Zone [A] pour (1),"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 3 ~ 2,200m2 PODIUM > Zone A",concrete pour floor slab zone pour,1,1,2,1,0,1,concrete_pump|telehandler,concrete_pump,,telehandler,8.5,0,,True,False,manual_first_pass
1159,Concrete pour floor slab Zone [A] pour (2),"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 3 ~ 2,200m2 PODIUM > Zone A",concrete pour floor slab zone pour,1,1,2,1,0,1,concrete_pump|telehandler,concrete_pump,,telehandler,8.5,0,,True,False,manual_first_pass
1161,Strip slab edge and set downs - tidy up,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 3 ~ 2,200m2 PODIUM > Zone B",strip slab edge and set downs - tidy up,4,4,2,1,0,1,telehandler|forklift,telehandler,,forklift,7.5,0,,True,False,manual_first_pass
1166,Jump the stretcher stairs,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 3 ~ 2,200m2 PODIUM > Zone B",jump the stretcher stairs,4,4,1,1,0,0,crane,crane,,,3.0,0,,False,False,manual_first_pass
1168,Install BD false work,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 3 ~ 2,200m2 PODIUM > Zone B",install bd false work,8,8,3,1,1,1,crane|telehandler|forklift,crane,telehandler,forklift,39.5,0,,True,False,manual_first_pass
1177,Install services,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 3 ~ 2,200m2 PODIUM > Zone B",install services,2,2,3,1,0,2,telehandler|hoist|forklift,telehandler,,hoist|forklift,5.0,0,,True,False,manual_first_pass
1180,Concrete pour floor slab and Columns Zone [B] pour (1),"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 3 ~ 2,200m2 PODIUM > Zone B",concrete pour floor slab and columns zone pour,4,4,2,1,0,1,concrete_pump|telehandler,concrete_pump,,telehandler,34.5,0,,True,False,manual_first_pass
1181,Concrete pour floor slab and Columns Zone [B] pour (2),"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 3 ~ 2,200m2 PODIUM > Zone B",concrete pour floor slab and columns zone pour,1,1,2,1,0,1,concrete_pump|telehandler,concrete_pump,,telehandler,8.5,0,,True,False,manual_first_pass
1192,Day 3 - Pour columns to pour 1,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 4 ~ 1,400m2",pour columns to pour,1,1,2,1,0,1,concrete_pump|telehandler,concrete_pump,,telehandler,8.5,0,,True,False,manual_first_pass
1198,Day 5 - Pour columns pour 2,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 4 ~ 1,400m2",pour columns pour,1,1,2,1,0,1,concrete_pump|telehandler,concrete_pump,,telehandler,8.5,0,,True,False,manual_first_pass
1200,"Day 5 - Dog box works, caulking panels","ON SITE WORKS > SUPERSTRUCTURE > LEVEL 4 ~ 1,400m2","dog box works, caulking panels",1,1,2,2,0,0,ewp|crane,ewp|crane,,,7.5,0,,True,False,manual_first_pass
1202,Day 6 - Complete dog box works – caulking panels,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 4 ~ 1,400m2",complete dog box works – caulking panels,1,1,2,2,0,0,ewp|crane,ewp|crane,,,7.5,0,,True,False,manual_first_pass
1204,Day 6 - Complete levelling pour 1,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 4 ~ 1,400m2",complete levelling pour,1,1,2,1,0,1,concrete_pump|telehandler,concrete_pump,,telehandler,8.5,0,,True,False,manual_first_pass
1206,Day 7 - Complete levelling pour 2 (2 men),"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 4 ~ 1,400m2",complete levelling pour,1,1,2,1,0,1,concrete_pump|telehandler,concrete_pump,,telehandler,8.5,0,,True,False,manual_first_pass
1208,Day 8 - Commence shelf angle and sealing deck (2 men),"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 4 ~ 1,400m2",commence shelf angle and sealing deck,1,1,2,2,0,0,ewp|crane,ewp|crane,,,7.5,0,,True,False,manual_first_pass
1210,Day 9 - Reo delivery first thing,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 4 ~ 1,400m2",reo delivery first thing,1,1,3,1,2,0,loading_bay|forklift|crane,loading_bay,forklift|crane,,10.0,1,telehandler,True,False,manual_first_pass
1213,Day 9 - Continue shelf angle and sealing deck (2 men),"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 4 ~ 1,400m2",continue shelf angle and sealing deck,1,1,2,2,0,0,ewp|crane,ewp|crane,,,7.5,0,,True,False,manual_first_pass
1216,"Day 10 - Complete shelf angle and sealing deck, and pre pour works (6 men)","ON SITE WORKS > SUPERSTRUCTURE > LEVEL 4 ~ 1,400m2","complete shelf angle and sealing deck, and pre pour works",2,2,2,2,0,0,ewp|crane,ewp|crane,,,15.0,0,,True,False,manual_first_pass
1219,"Day 11 - Slab pour, pour 1","ON SITE WORKS > SUPERSTRUCTURE > LEVEL 4 ~ 1,400m2","slab pour, pour",1,1,1,1,0,0,concrete_pump,concrete_pump,,,8.0,1,telehandler,False,False,manual_first_pass
1220,"Day 12 - Slab pour, pour 2","ON SITE WORKS > SUPERSTRUCTURE > LEVEL 4 ~ 1,400m2","slab pour, pour",1,1,2,1,0,1,concrete_pump|telehandler,concrete_pump,,telehandler,8.5,0,,True,False,manual_first_pass
1231,Day 3 - Pour columns to pour 1,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 5 ~ 1,400m2",pour columns to pour,1,1,2,1,0,1,concrete_pump|telehandler,concrete_pump,,telehandler,8.5,0,,True,False,manual_first_pass
1237,Day 5 - Pour columns pour 2,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 5 ~ 1,400m2",pour columns pour,1,1,2,1,0,1,concrete_pump|telehandler,concrete_pump,,telehandler,8.5,0,,True,False,manual_first_pass
1239,"Day 5 - Dog box works, caulking panels","ON SITE WORKS > SUPERSTRUCTURE > LEVEL 5 ~ 1,400m2","dog box works, caulking panels",1,1,2,2,0,0,ewp|crane,ewp|crane,,,7.5,0,,True,False,manual_first_pass
1241,Day 6 - Complete dog box works – caulking panels,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 5 ~ 1,400m2",complete dog box works – caulking panels,1,1,2,2,0,0,ewp|crane,ewp|crane,,,7.5,0,,True,False,manual_first_pass
1243,Day 6 - Complete levelling pour 1,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 5 ~ 1,400m2",complete levelling pour,1,1,2,1,0,1,concrete_pump|telehandler,concrete_pump,,telehandler,8.5,0,,True,False,manual_first_pass
1245,Day 7 - Complete levelling pour 2 (2 men),"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 5 ~ 1,400m2",complete levelling pour,1,1,2,1,0,1,concrete_pump|telehandler,concrete_pump,,telehandler,8.5,0,,True,False,manual_first_pass
1247,Day 8 - Commence shelf angle and sealing deck (2 men),"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 5 ~ 1,400m2",commence shelf angle and sealing deck,1,1,2,2,0,0,ewp|crane,ewp|crane,,,7.5,0,,True,False,manual_first_pass
1249,Day 9 - Reo delivery first thing,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 5 ~ 1,400m2",reo delivery first thing,1,1,4,1,2,1,loading_bay|forklift|crane|telehandler,loading_bay,forklift|crane,telehandler,9.0,0,,True,False,manual_first_pass
1252,Day 9 - Continue shelf angle and sealing deck (2 men),"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 5 ~ 1,400m2",continue shelf angle and sealing deck,1,1,2,2,0,0,ewp|crane,ewp|crane,,,7.5,0,,True,False,manual_first_pass
1255,"Day 10 - Complete shelf angle and sealing deck, and pre pour works (6 men)","ON SITE WORKS > SUPERSTRUCTURE > LEVEL 5 ~ 1,400m2","complete shelf angle and sealing deck, and pre pour works",1,1,2,2,0,0,ewp|crane,ewp|crane,,,7.5,0,,True,False,manual_first_pass
1258,"Day 11 - Slab pour, pour 1","ON SITE WORKS > SUPERSTRUCTURE > LEVEL 5 ~ 1,400m2","slab pour, pour",1,1,2,1,0,1,concrete_pump|telehandler,concrete_pump,,telehandler,8.5,0,,True,False,manual_first_pass
1259,"Day 12 - Slab pour, pour 2","ON SITE WORKS > SUPERSTRUCTURE > LEVEL 5 ~ 1,400m2","slab pour, pour",1,1,2,1,0,1,concrete_pump|telehandler,concrete_pump,,telehandler,8.5,0,,True,False,manual_first_pass
1270,Day 3 - Pour columns to pour 1,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 6 ~ 1,400m2",pour columns to pour,1,1,2,1,0,1,concrete_pump|telehandler,concrete_pump,,telehandler,8.5,0,,True,False,manual_first_pass
1276,Day 5 - Pour columns pour 2,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 6 ~ 1,400m2",pour columns pour,1,1,2,1,0,1,concrete_pump|telehandler,concrete_pump,,telehandler,8.5,0,,True,False,manual_first_pass
1278,"Day 5 - Dog box works, caulking panels","ON SITE WORKS > SUPERSTRUCTURE > LEVEL 6 ~ 1,400m2","dog box works, caulking panels",1,1,2,2,0,0,ewp|crane,ewp|crane,,,7.5,0,,True,False,manual_first_pass
1280,Day 6 - Complete dog box works – caulking panels,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 6 ~ 1,400m2",complete dog box works – caulking panels,1,1,2,2,0,0,ewp|crane,ewp|crane,,,7.5,0,,True,False,manual_first_pass
1282,Day 6 - Complete levelling pour 1,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 6 ~ 1,400m2",complete levelling pour,1,1,2,1,0,1,concrete_pump|telehandler,concrete_pump,,telehandler,8.5,0,,True,False,manual_first_pass
1284,Day 7 - Complete levelling pour 2 (2 men),"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 6 ~ 1,400m2",complete levelling pour,1,1,2,1,0,1,concrete_pump|telehandler,concrete_pump,,telehandler,8.5,0,,True,False,manual_first_pass
1286,Day 8 - Commence shelf angle and sealing deck (2 men),"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 6 ~ 1,400m2",commence shelf angle and sealing deck,1,1,2,2,0,0,ewp|crane,ewp|crane,,,7.5,0,,True,False,manual_first_pass
1288,Day 9 - Reo delivery first thing,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 6 ~ 1,400m2",reo delivery first thing,1,1,4,1,2,1,loading_bay|forklift|crane|telehandler,loading_bay,forklift|crane,telehandler,9.0,0,,True,False,manual_first_pass
1291,Day 9 - Continue shelf angle and sealing deck (2 men),"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 6 ~ 1,400m2",continue shelf angle and sealing deck,1,1,2,2,0,0,ewp|crane,ewp|crane,,,7.5,0,,True,False,manual_first_pass
1294,"Day 10 - Complete shelf angle and sealing deck, and pre pour works (6 men)","ON SITE WORKS > SUPERSTRUCTURE > LEVEL 6 ~ 1,400m2","complete shelf angle and sealing deck, and pre pour works",1,1,2,2,0,0,ewp|crane,ewp|crane,,,7.5,0,,True,False,manual_first_pass
1297,"Day 11 - Slab pour, pour 1","ON SITE WORKS > SUPERSTRUCTURE > LEVEL 6 ~ 1,400m2","slab pour, pour",1,1,2,1,0,1,concrete_pump|telehandler,concrete_pump,,telehandler,8.5,0,,True,False,manual_first_pass
1298,Day 12 - Strip Slab Edging and prepare for Pour 2,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 6 ~ 1,400m2",strip slab edging and prepare for pour,1,1,2,1,0,1,telehandler|forklift,telehandler,,forklift,2.0,0,,True,False,manual_first_pass
1299,"Day 13 - Slab pour, pour 2","ON SITE WORKS > SUPERSTRUCTURE > LEVEL 6 ~ 1,400m2","slab pour, pour",1,1,2,1,0,1,concrete_pump|telehandler,concrete_pump,,telehandler,8.5,0,,True,False,manual_first_pass
1310,Day 3 - Pour columns to pour 1,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 7 ~ 1,400m2",pour columns to pour,1,1,2,1,0,1,concrete_pump|telehandler,concrete_pump,,telehandler,8.5,0,,True,False,manual_first_pass
1316,Day 5 - Pour columns pour 2,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 7 ~ 1,400m2",pour columns pour,1,1,2,1,0,1,concrete_pump|telehandler,concrete_pump,,telehandler,8.5,0,,True,False,manual_first_pass
1318,"Day 5 - Dog box works, caulking panels","ON SITE WORKS > SUPERSTRUCTURE > LEVEL 7 ~ 1,400m2","dog box works, caulking panels",1,1,2,2,0,0,ewp|crane,ewp|crane,,,7.5,0,,True,False,manual_first_pass
1320,Day 6 - Complete dog box works – caulking panels,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 7 ~ 1,400m2",complete dog box works – caulking panels,1,1,2,2,0,0,ewp|crane,ewp|crane,,,7.5,0,,True,False,manual_first_pass
1322,Day 6 - Complete levelling pour 1,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 7 ~ 1,400m2",complete levelling pour,1,1,2,1,0,1,concrete_pump|telehandler,concrete_pump,,telehandler,8.5,0,,True,False,manual_first_pass
